"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT08","WT09"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-01-16","9.17",,"0.00","0.0","0.0","44","55","37","  110","  110","23.9","32.0",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-01-17","12.97",,"0.05","0.0","0.0","51","57","47","  200","  200","25.1","34.0",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-01-18","10.29",,"0.41","0.0","0.0","50","53","45","  190","  210","23.9","29.1","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-01-19","11.41",,"0.10","0.0","0.0","48","51","42","  200","  220","21.0","28.0","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-01-20","7.38",,"0.00","0.0","0.0","44","47","38","  350","  350","16.1","21.0",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-01-21","4.25",,"0.00","0.0","0.0","41","47","36","  120","  110","13.0","17.0","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-01-22","10.96",,"0.85","0.0","0.0","43","49","40","  190","  190","28.0","36.0","    1",,,,"    1",
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-01-23","8.05",,"0.37","0.0","0.0","48","51","46","  210","  180","25.1","35.1","    1",,,,"    1",
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-01-24","3.36",,"0.09","0.0","0.0","46","47","41","   20","   30","8.9","12.1","    1",,,,"    1",
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-01-25","4.92",,"0.00","0.0","0.0","44","50","39","   20","  340","10.1","13.0","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-01-26","7.16",,"0.00","0.0","0.0","42","51","35","   20","  360","13.0","16.1","    1","    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-01-27","7.16",,"0.00","0.0","0.0","41","43","36","   30","   30","16.1","19.9","    1","    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-01-28","10.74",,"0.00","0.0","0.0","43","51","37","   20","   20","18.1","21.9","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-01-29","6.93",,"0.00","0.0","0.0","43","54","36","   20","   10","13.0","14.1",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-01-30","2.46",,"0.00","0.0","0.0","42","51","33","  360","   40","6.9","8.1",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-01-31","5.37",,"0.01","0.0","0.0","44","54","37","  140","  150","13.0","19.0",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-02-01","7.61",,"0.68","0.0","0.0","48","50","44","  210","  200","15.0","19.9","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-02-02","6.93",,"0.03","0.0","0.0","47","48","41","  190","  190","15.0","18.1","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-02-03","11.18",,"0.09","1.0","0.0","41","42","31","  190","  190","23.9","32.0","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-02-04","16.55",,"0.13","1.7","1.2","29","32","25","  360","   10","30.0","38.9","    1","    1",,,,"    1"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-02-05","3.80",,"0.00","0.0","3.1","27","34","20","   20","   20","10.1","12.1",,,,,"    1",
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-02-06","4.70",,"0.00","0.0","1.2","28","37","20","  110","  140","12.1","15.0",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-02-07","5.37",,"0.00","0.0","0.0","31","39","25","  110","  360","10.1","14.1",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-02-08","7.38",,"0.46","6.4","5.9","33","37","29","  110","   90","16.1","21.9","    1","    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-02-09","13.87",,"0.16","1.5","5.9","31","33","25","  360","  350","25.1","33.1","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-02-10","12.08",,"0.16","3.5","7.1","27","36","21","  190","  190","25.1","35.1","    1","    1",,,"    1",
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-02-11","7.16",,"1.22","6.1","5.9","33","38","29","  110","  170","16.1","21.9","    1","    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-02-12","9.17",,"0.86","0.0","7.1","35","40","34","  190","  180","16.1","21.9","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-02-13","7.61",,"0.02","0.0","2.0","37","39","31","   10","   10","13.0","16.1","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-02-14","9.17",,"0.12","0.0","0.0","37","44","29","  190","   60","18.1","23.9","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-02-15","6.93",,"0.00","0.0","0.0","41","47","38","  210","  220","21.0","25.1",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-02-16","4.25",,"0.15","0.0","0.0","40","44","36","  220","  220","12.1","16.1","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-02-17","3.58",,"0.00","0.0","0.0","38","43","32","  360","   90","8.1","11.0","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-02-18","5.37",,"0.05","0.0","0.0","38","45","35","  190","   30","10.1","13.0","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-02-19","7.38",,"0.13","0.0","0.0","40","43","38","  230","  190","17.0","21.9","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-02-20","7.38",,"0.19","0.0","0.0","40","43","37","   10","   10","16.1","19.0","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-02-21","6.04",,"0.00","0.0","0.0","39","47","32","  350","  350","14.1","23.0",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-02-22","10.96",,"0.11","0.0","0.0","39","42","34","  210","  200","25.1","35.1",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-02-23","7.61",,"0.05","0.0","0.0","40","45","36","  200","  200","17.0","21.9","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-02-24","8.72",,"0.01","0.0","0.0","40","42","37","   10","   30","15.0","17.0","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-02-25","11.18",,"0.00","0.0","0.0","38","44","32","  350","  340","21.0","25.1",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-02-26","12.75",,"0.00","0.0","0.0","37","43","30","   80","   90","25.9","36.0",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-02-27","8.05",,"0.00","0.0","0.0","37","43","33","   40","  340","15.0","25.9",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-02-28","5.14",,"0.00","0.0","0.0","38","49","30","  230","  220","13.0","17.0",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-03-01","6.26",,"0.00","0.0","0.0","42","51","34","   20","   30","14.1","17.0",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-03-02","11.18",,"0.00","0.0","0.0","42","51","34","   80","   90","19.9","25.9",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-03-03","12.97",,"0.00","0.0","0.0","40","47","33","   70","   70","21.0","27.1",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-03-04","10.74",,"0.00","0.0","0.0","37","46","31","   70","  260","17.0","28.0",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-03-05","9.40",,"0.00","0.0","0.0","38","49","28","  340","  340","17.0","19.9",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-03-06","9.40",,"0.12","0.0","0.0","38","40","34","   10","   10","17.0","21.9","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-03-07","10.51",,"0.21","0.8","0.0","37","45","33","  190","  200","21.9","28.0","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-03-08","3.36",,"0.06","0.0","0.0","37","41","34","  200","  210","8.9","11.0","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-03-09","6.26",,"0.00","0.0","0.0","36","48","30","   20","   10","14.1","18.1",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-03-10","4.25",,"0.00","0.0","0.0","40","52","31","  300","  300","10.1","14.1",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-03-11","8.50",,"0.28","0.0","0.0","42","51","34","  250","  230","21.0","28.0","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-03-12","5.82",,"0.49","0.0","0.0","42","48","37","   40","   20","14.1","19.9","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-03-13","4.70",,"0.00","0.0","0.0","42","52","37","  230","  190","12.1","15.0",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-03-14","5.14",,"0.00","0.0","0.0","45","54","39","  220","  210","13.0","16.1",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-03-15","5.59",,"0.00","0.0","0.0","49","60","40","   20","  330","12.1","13.0",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-03-16","5.59",,"0.00","0.0","0.0","50","61","42","   40","   30","13.0","14.1",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-03-17","8.95",,"0.00","0.0","0.0","51","64","40","   20","   20","17.0","21.0",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-03-18","16.11",,"0.00","0.0","0.0","57","76","44","   80","   60","28.0","34.0",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-03-19","15.43",,"0.00","0.0","0.0","67","79","59","   90","   90","25.9","36.0",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-03-20","11.63",,"0.00","0.0","0.0","68","79","54","   80","   70","30.0","35.1",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-03-21","8.50",,"0.00","0.0","0.0","58","60","46","  190","  190","16.1","19.9",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-03-22","8.28",,"0.01","0.0","0.0","53","65","47","  230","  230","21.9","28.0",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-03-23","4.92",,"0.00","0.0","0.0","51","59","45","  240","  210","10.1","16.1",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-03-24","4.92",,"0.00","0.0","0.0","50","57","45","  100","  220","12.1","16.1",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-03-25","9.17",,"0.16","0.0","0.0","51","60","41","  200","  200","18.1","25.1","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-03-26","8.05",,"0.04","0.0","0.0","48","58","42","   10","   10","16.1","19.0",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-03-27","14.32",,"0.00","0.0","0.0","49","60","42","   10","   20","23.9","28.0",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-03-28","4.92",,"0.00","0.0","0.0","52","64","44","  320","  320","12.1","14.1",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-03-29","4.70",,"0.00","0.0","0.0","53","62","44","  350","  270","10.1","14.1",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-03-30","6.71",,"0.00","0.0","0.0","53","66","43","  310","  330","12.1","18.1",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-03-31","6.71",,"0.00","0.0","0.0","55","68","43","  350","  350","14.1","17.0",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-04-01","9.17",,"0.00","0.0","0.0","56","70","45","   10","   20","16.1","19.0",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-04-02","10.07",,"0.00","0.0","0.0","60","68","52","   20","   20","17.0","19.9",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-04-03","11.86",,"0.03","0.0","0.0","56","59","47","  220","  230","23.9","30.0","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-04-04","5.59",,"0.06","0.0","0.0","52","63","45","  190","  140","12.1","17.0",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-04-05","11.41",,"0.32","0.0","0.0","54","57","47","  210","  200","25.1","33.1","    1",,,,"    1",
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-04-06","10.51",,"0.26","0.0","0.0","50","57","45","  210","  210","30.0","42.1","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-04-07","5.82",,"0.28","0.0","0.0","49","55","44","  200","  200","15.0","17.0","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-04-08","4.70",,"0.05","0.0","0.0","52","61","47","  270","  270","14.1","17.0","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-04-09","10.07",,"0.33","0.0","0.0","51","58","46","  210","  200","18.1","23.9","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-04-10","10.74",,"0.28","0.0","0.0","49","53","46","  200","  210","21.0","27.1","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-04-11","9.17",,"0.40","0.0","0.0","49","53","46","  210","  210","16.1","21.9","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-04-12","5.59",,"0.65","0.0","0.0","51","60","47","  230","  230","16.1","19.9","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-04-13","14.54",,"0.09","0.0","0.0","49","51","45","  220","  230","25.1","33.1","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-04-14","12.30",,"0.01","0.0","0.0","46","51","43","  220","  210","19.9","25.1",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-04-15","6.71",,"0.00","0.0","0.0","46","56","40","  360","  290","14.1","18.1",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-04-16","7.38",,"0.21","0.0","0.0","50","56","45","  200","  210","15.0","21.0","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-04-17","10.29",,"0.00","0.0","0.0","52","63","48","  210","  210","18.1","25.1",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-04-18","8.05",,"0.13","0.0","0.0","57","62","53","  190","  200","16.1","19.9","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-04-19","8.05",,"0.16","0.0","0.0","56","56","50","   40","   40","17.0","21.0","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-04-20","4.92",,"0.00","0.0","0.0","52","60","47","   20","  360","15.0","19.0","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-04-21","7.16",,"0.00","0.0","0.0","52","60","45","  200","  210","14.1","18.1",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-04-22","8.50",,"0.13","0.0","0.0","52","59","45","  200","  270","16.1","21.9","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-04-23","10.07",,"0.00","0.0","0.0","53","60","49","  210","  220","17.0","21.9",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-04-24","7.38",,"0.00","0.0","0.0","52","61","47","   30","  340","15.0","19.9",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-04-25","9.40",,"0.00","0.0","0.0","53","62","44","   10","   10","17.0","19.9",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-04-26","8.72",,"0.00","0.0","0.0","54","63","45","  210","  210","17.0","21.9",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-04-27","8.05",,"0.14","0.0","0.0","51","54","42","   10","   10","25.9","33.1","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-04-28","8.28",,"0.00","0.0","0.0","48","60","37","  340","  350","19.9","25.9",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-04-29","9.62",,"0.00","0.0","0.0","54","65","44","   40","  360","23.0","27.1",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-04-30","6.04",,"0.00","0.0","0.0","54","67","41","  330","  330","15.0","19.9",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-05-01","11.18",,"0.00","0.0","0.0","55","64","43","  220","  190","18.1","23.9",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-05-02","9.84",,"0.00","0.0","0.0","52","59","47","  200","  180","18.1","23.0",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-05-03","5.82",,"0.00","0.0","0.0","53","63","46","  340","  310","13.0","16.1",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-05-04","6.93",,"0.00","0.0","0.0","56","69","45","  330","  340","18.1","21.9",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-05-05","6.71",,"0.00","0.0","0.0","60","70","49","  360","  350","18.1","23.0",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-05-06","6.71",,"0.00","0.0","0.0","61","76","50","  350","  330","15.0","18.1",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-05-07","5.82",,"0.00","0.0","0.0","63","74","51","  360","   10","14.1","17.0",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-05-08","7.61",,"0.00","0.0","0.0","62","75","50","  350","   10","17.0","21.0","    1",,,,"    1",
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-05-09","10.51",,"0.00","0.0","0.0","68","83","56","  350","  340","19.9","25.9",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-05-10","5.37",,"0.00","0.0","0.0","70","86","56","  350","  360","12.1","21.0",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-05-11","6.26",,"0.00","0.0","0.0","72","83","53","  220","  240","14.1","19.0",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-05-12","7.61",,"0.00","0.0","0.0","58","67","51","  220","  200","13.0","18.1",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-05-13","5.37",,"0.00","0.0","0.0","56","68","48","  210","  210","13.0","15.0",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-05-14","8.28",,"0.16","0.0","0.0","57","60","52","  200","  190","15.0","21.0","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-05-15","6.71",,"0.02","0.0","0.0","58","71","52","  360","  350","15.0","19.0","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-05-16","6.71",,"0.13","0.0","0.0","57","64","53","  210","  210","17.0","23.0","    1","    1",,,"    1",
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-05-17","12.53",,"0.05","0.0","0.0","56","64","52","  210","  190","23.0","32.0",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-05-18","5.82",,"0.00","0.0","0.0","59","71","51","   20","   20","16.1","19.0",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-05-19","6.04",,"0.00","0.0","0.0","62","70","53","  210","  210","14.1","17.0",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-05-20","8.28",,"0.05","0.0","0.0","58","57","52","   70","   80","15.0","19.0","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-05-21","6.71",,"0.02","0.0","0.0","54","62","50","   10","  360","15.0","18.1",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-05-22","5.37",,"0.00","0.0","0.0","60","75","51","  300","  300","14.1","19.0",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-05-23","7.16",,"0.00","0.0","0.0","63","77","53","  210","  210","17.0","19.9","    1","    1",,,"    1",
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-05-24","10.96",,"0.00","0.0","0.0","60","62","53","  250","  260","18.1","23.9","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-05-25","7.61",,"0.19","0.0","0.0","54","56","52","  350","  210","13.0","17.0","    1",,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-05-26","7.83",,"0.00","0.0","0.0","56","72","52","   20","  360","14.1","18.1",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-05-27","7.61",,"0.00","0.0","0.0","65","77","54","  210","  200","15.0","21.0",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-05-28","7.61",,"0.00","0.0","0.0","60","66","54","  200","  200","14.1","18.1",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-05-29","5.59",,"0.00","0.0","0.0","59","70","53","  240","  250","10.1","14.1",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-05-30","4.03",,"0.00","0.0","0.0","60","75","52","  250","  250","8.9","12.1","    1","    1",,,"    1",
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-05-31","4.92",,"0.00","0.0","0.0","63","76","54","  290","   20","8.9","13.0","    1","    1",,,"    1",
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2019-06-01","6.04",,"0.00","0.0","0.0","62","76","53","   30","   30","15.0","18.1","    1",,,,"    1",
